Date,Close
1/25/2016 ,39.32
1/26/2016 ,40.18
1/27/2016 ,40.29
1/28/2016 ,39.57
1/29/2016 ,40.41
2/1/2016 ,40.91
2/2/2016 ,40.9
2/3/2016 ,41.62
2/4/2016 ,40.74
2/5/2016 ,40.26
2/8/2016 ,39.65
2/9/2016 ,39.51
2/10/2016 ,38.81
2/11/2016 ,37.9
2/12/2016 ,39.25
2/16/2016 ,40.47
2/17/2016 ,41.1
2/18/2016 ,41.13
2/19/2016 ,40.23
2/22/2016 ,41.06
2/23/2016 ,42.31
2/24/2016 ,42.85
2/25/2016 ,43.37
2/26/2016 ,43.43
2/29/2016 ,43.21
3/1/2016 ,43.7
3/2/2016 ,43.96
3/3/2016 ,44.09
3/4/2016 ,44.58
3/7/2016 ,44.62
3/8/2016 ,44.04
3/9/2016 ,44.31
3/10/2016 ,44.2
3/11/2016 ,44.35
3/14/2016 ,43.87
3/15/2016 ,43.11
3/16/2016 ,43.5
3/17/2016 ,43.97
3/18/2016 ,44.87
3/21/2016 ,44.15
3/22/2016 ,43.78
3/23/2016 ,43.42
3/24/2016 ,43.48
3/28/2016 ,44.38
3/29/2016 ,44.42
3/30/2016 ,44.1
3/31/2016 ,44.09
4/1/2016 ,42.96
4/4/2016 ,42.16
4/5/2016 ,41.47
4/6/2016 ,41.57
4/7/2016 ,40.62
4/8/2016 ,39.68
4/11/2016 ,39.82
4/12/2016 ,40.07
4/13/2016 ,40.33
4/14/2016 ,39.66
4/15/2016 ,40.64
4/18/2016 ,40.72
4/19/2016 ,41.15
4/20/2016 ,41.36
4/21/2016 ,41.55
4/22/2016 ,40.96
4/25/2016 ,40.33
4/26/2016 ,40.54
4/27/2016 ,41.01
4/28/2016 ,40.6
4/29/2016 ,39.59
5/2/2016 ,39.91
5/3/2016 ,39.49
5/4/2016 ,38.68
5/5/2016 ,37.9
5/6/2016 ,37.65
5/9/2016 ,37.74
5/10/2016 ,36.99
5/11/2016 ,31.38
5/12/2016 ,31.21
5/13/2016 ,31.22
5/16/2016 ,30.73
5/17/2016 ,30.4
5/18/2016 ,30.07
5/19/2016 ,30.87
5/20/2016 ,31.29
5/23/2016 ,31.29
5/24/2016 ,31.19
5/25/2016 ,31.81
5/26/2016 ,31.57
5/27/2016 ,32.72
5/31/2016 ,33.21
6/1/2016 ,33.03
6/2/2016 ,34.35
6/3/2016 ,34.33
6/6/2016 ,34.28
6/7/2016 ,34.32
6/8/2016 ,34.26
6/9/2016 ,33.6
6/10/2016 ,33.24
6/13/2016 ,31.6
6/14/2016 ,31.31
6/15/2016 ,31.94
6/16/2016 ,32.35
6/17/2016 ,33.23
6/20/2016 ,33.21
6/21/2016 ,33.04
6/22/2016 ,32.81
6/23/2016 ,33.38
6/24/2016 ,32.08
6/27/2016 ,31.71
6/28/2016 ,32.43
6/29/2016 ,33.32
6/30/2016 ,33.61
7/1/2016 ,33.6
7/5/2016 ,33.1
7/6/2016 ,33.61
7/7/2016 ,33.61
7/8/2016 ,34.36
7/11/2016 ,34.86
7/12/2016 ,35.65
7/13/2016 ,35.08
7/14/2016 ,34.83
7/15/2016 ,34.68
7/18/2016 ,35.25
7/19/2016 ,34.87
7/20/2016 ,35.3
7/21/2016 ,35.49
7/22/2016 ,35.28
7/25/2016 ,36.46
7/26/2016 ,36.82
7/27/2016 ,35.7
7/28/2016 ,35.87
7/29/2016 ,35.83
8/1/2016 ,35.32
8/2/2016 ,32.76
8/3/2016 ,33.43
8/4/2016 ,33.69
8/5/2016 ,34.11
8/8/2016 ,34.75
8/9/2016 ,33.78
8/10/2016 ,34
8/11/2016 ,39.81
8/12/2016 ,39.82
8/15/2016 ,40.46
8/16/2016 ,40.7
8/17/2016 ,40.41
8/18/2016 ,40.25
8/19/2016 ,40.3
8/22/2016 ,39.35
8/23/2016 ,40
8/24/2016 ,39.73
8/25/2016 ,39.25
8/26/2016 ,38.56
8/29/2016 ,38.69
8/30/2016 ,38.19
8/31/2016 ,36.18
9/1/2016 ,36.34
9/2/2016 ,36.64
9/6/2016 ,36.15
9/7/2016 ,37.19
9/8/2016 ,36
9/9/2016 ,35.48
9/12/2016 ,35.65
9/13/2016 ,34.68
9/14/2016 ,35.21
9/15/2016 ,35.56
9/16/2016 ,35.54
9/19/2016 ,35.22
9/20/2016 ,34.96
9/21/2016 ,36.01
9/22/2016 ,36.26
9/23/2016 ,36.62
9/26/2016 ,36.24
9/27/2016 ,36.6
9/28/2016 ,36.1
9/29/2016 ,36.05
9/30/2016 ,37.05
10/3/2016 ,36.28
10/4/2016 ,36.56
10/5/2016 ,37.36
10/6/2016 ,37.68
10/7/2016 ,38.04
10/10/2016 ,37.54
10/11/2016 ,37.24
10/12/2016 ,37.54
10/13/2016 ,36.8
10/14/2016 ,35.57
10/17/2016 ,35.09
10/18/2016 ,35.2
10/19/2016 ,35.59
10/20/2016 ,35.87
10/21/2016 ,36.51
10/24/2016 ,36.64
10/25/2016 ,35.93
10/26/2016 ,35.95
10/27/2016 ,35.3
10/28/2016 ,35.56
10/31/2016 ,36.49
11/1/2016 ,36.84
11/2/2016 ,36.89
11/3/2016 ,36.89
11/4/2016 ,36.85
11/7/2016 ,37.77
11/8/2016 ,37.87
11/9/2016 ,38.38
11/10/2016 ,40.53
11/11/2016 ,41.36
11/14/2016 ,41.56
11/15/2016 ,41.39
11/16/2016 ,41.84
11/17/2016 ,43.05
11/18/2016 ,43.03
11/21/2016 ,43.19
11/22/2016 ,44.46
11/23/2016 ,44.91
11/25/2016 ,44.14
11/28/2016 ,43.13
11/29/2016 ,42.49
11/30/2016 ,42.2
12/1/2016 ,42.42
12/2/2016 ,42.48
12/5/2016 ,41.91
12/6/2016 ,42.4
12/7/2016 ,43.18
12/8/2016 ,43.07
12/9/2016 ,42.44
12/12/2016 ,40.46
12/13/2016 ,40.71
12/14/2016 ,40.16
12/15/2016 ,40.14
12/16/2016 ,37.47
12/19/2016 ,37
12/20/2016 ,37.95
12/21/2016 ,37.51
12/22/2016 ,36.17
12/23/2016 ,36.48
12/27/2016 ,36.53
12/28/2016 ,36.28
12/29/2016 ,36.29
12/30/2016 ,35.81
1/3/2017 ,35.23
1/4/2017 ,35.84
1/5/2017 ,30.86
1/6/2017 ,30.82
1/9/2017 ,30.46
1/10/2017 ,30.3
1/11/2017 ,29.95
1/12/2017 ,29.98
1/13/2017 ,29.88
1/17/2017 ,29.9
1/18/2017 ,29.44
1/19/2017 ,29.45
1/20/2017 ,29.7
1/23/2017 ,29.63
1/24/2017 ,29.98
1/25/2017 ,30.15
